"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 08- 31","217.38","217.61","217.75","216.47","85.27M","-0.28%"
"2016- 08- 30","218.00","218.26","218.59","217.35","58.11M","-0.16%"
"2016- 08- 29","218.36","217.44","218.66","217.40","70.50M","0.49%"
"2016- 08- 26","217.29","217.92","219.12","216.25","122.51M","-0.19%"
"2016- 08- 25","217.70","217.40","218.19","217.22","69.22M","-0.07%"
"2016- 08- 24","217.85","218.80","218.91","217.36","71.73M","-0.51%"
"2016- 08- 23","218.97","219.25","219.60","218.90","53.40M","0.20%"
"2016- 08- 22","218.53","218.26","218.80","217.83","61.37M","0.00%"
"2016- 08- 19","218.54","218.31","218.75","217.74","75.44M","-0.15%"
"2016- 08- 18","218.86","218.34","218.90","218.21","52.99M","0.22%"
"2016- 08- 17","218.37","218.00","218.53","217.02","75.13M","0.19%"
"2016- 08- 16","217.96","218.60","218.68","217.96","53.21M","-0.52%"
"2016- 08- 15","219.09","218.89","219.50","218.88","49.81M","0.29%"
"2016- 08- 12","218.46","218.29","218.71","217.99","61.31M","-0.09%"
"2016- 08- 11","218.65","218.26","218.94","217.95","72.50M","0.46%"
"2016- 08- 10","217.64","218.31","218.40","217.23","57.94M","-0.25%"
"2016- 08- 09","218.18","218.13","218.76","217.80","51.25M","0.06%"
"2016- 08- 08","218.05","218.40","218.52","217.74","39.91M","-0.06%"
"2016- 08- 05","218.18","217.21","218.23","217.07","71.89M","0.82%"
"2016- 08- 04","216.41","216.31","216.78","214.25","46.59M","0.11%"
"2016- 08- 03","216.18","215.48","216.25","215.13","53.99M","0.29%"
"2016- 08- 02","215.55","216.65","216.83","214.57","92.30M","-0.64%"
"2016- 08- 01","216.94","217.19","217.65","216.41","73.31M","-0.08%"
"2016- 07- 29","217.12","216.46","217.54","216.13","79.52M","0.16%"
"2016- 07- 28","216.77","216.29","217.11","215.75","65.04M","0.12%"
"2016- 07- 27","216.52","217.19","217.27","215.62","84.08M","-0.11%"
"2016- 07- 26","216.75","216.53","217.17","215.76","70.08M","0.05%"
"2016- 07- 25","216.65","217.00","217.06","215.97","55.87M","-0.27%"
"2016- 07- 22","217.24","216.41","217.30","216.10","62.79M","0.45%"
"2016- 07- 21","216.26","216.96","217.22","215.75","67.78M","-0.38%"
"2016- 07- 20","217.09","216.75","217.37","216.24","58.16M","0.42%"
"2016- 07- 19","216.19","215.92","216.23","215.63","54.35M","-0.10%"
"2016- 07- 18","216.41","215.97","216.60","215.67","58.73M","0.27%"
"2016- 07- 15","215.83","216.78","217.01","215.31","107.16M","-0.13%"
