,date,account_value
225,2022-08-24,969510.8095971225
226,2022-08-25,981637.5653802035
227,2022-08-26,950449.7153321384
228,2022-08-29,948402.9845810091
229,2022-08-30,934038.0320793574
230,2022-08-31,925459.9596381801
231,2022-09-01,926020.6682803005
232,2022-09-02,921298.738989529
233,2022-09-06,918951.2207705348
234,2022-09-07,936922.5911623805
235,2022-09-08,943477.9715334743
236,2022-09-09,959523.6687151759
237,2022-09-12,970115.7343966335
238,2022-09-13,929566.6292712062
239,2022-09-14,937442.1518465846
240,2022-09-15,928593.6328341335
241,2022-09-16,916778.8789202541
242,2022-09-19,927392.5519396632
243,2022-09-20,914590.4197680324
244,2022-09-21,897613.8205401271
245,2022-09-22,883119.5439364284
246,2022-09-23,858633.7336413234
247,2022-09-26,851173.417807278
248,2022-09-27,851972.2948519557
249,2022-09-28,874797.023062405
250,2022-09-29,855357.705748257
251,2022-09-30,842732.5712115138
252,2022-10-03,859654.9902331203
253,2022-10-04,889863.2711169093
254,2022-10-05,887903.9337450832
255,2022-10-06,883140.0808626979
256,2022-10-07,861649.8834139674
257,2022-10-10,857246.9798189967
258,2022-10-11,852464.7522875636
259,2022-10-12,852740.492026028
260,2022-10-13,871112.8932711452
261,2022-10-14,844062.5169741481
262,2022-10-17,867664.8931261867
263,2022-10-18,881377.9610125392
264,2022-10-19,878001.6919543117
265,2022-10-20,864901.4661623805
266,2022-10-21,889290.3643709987
267,2022-10-24,895737.1653277248
268,2022-10-25,910770.2854503939
269,2022-10-26,911270.1083034823
270,2022-10-27,913227.1302723238
271,2022-10-28,922310.4733661959
272,2022-10-31,919328.6440471957
273,2022-11-01,916850.659832413
274,2022-11-02,892012.1759075472
275,2022-11-03,894440.8180393527
276,2022-11-04,906259.0882719577
277,2022-11-07,910249.4200895465
278,2022-11-08,912863.0097027667
279,2022-11-09,888533.2932795184
280,2022-11-10,933966.4923693317
281,2022-11-11,948403.9097618182
282,2022-11-14,939400.4364401019
283,2022-11-15,948327.6854759409
284,2022-11-16,936968.6263786509
285,2022-11-17,931437.3711296275
286,2022-11-18,933876.7715202525
287,2022-11-21,928019.6925712778
288,2022-11-22,941049.8316551402
289,2022-11-23,946298.0258537485
290,2022-11-25,947077.4198967173
291,2022-11-28,933622.5649467661
292,2022-11-29,936474.9822593882
293,2022-11-30,957552.2336021616
294,2022-12-01,956488.3419243052
295,2022-12-02,956985.3949485972
296,2022-12-05,933849.1391960337
297,2022-12-06,919910.219976063
298,2022-12-07,916901.1831260874
299,2022-12-08,921951.8212181284
300,2022-12-09,913799.0738893854
301,2022-12-12,924247.0804506647
302,2022-12-13,928696.8348375666
303,2022-12-14,923159.45311607
304,2022-12-15,906666.5562654841
305,2022-12-16,896171.1926103937
306,2022-12-19,888351.0870043146
307,2022-12-20,887267.6387468684
308,2022-12-21,901765.660223614
309,2022-12-22,885209.4492174494
310,2022-12-23,894502.1992555964
311,2022-12-27,891496.9891725886
312,2022-12-28,880537.8196779597
313,2022-12-29,895198.6521822321
314,2022-12-30,893479.8259645808
315,2023-01-03,886639.8554674494
316,2023-01-04,895748.5716463435
317,2023-01-05,890770.3494631159
318,2023-01-06,912594.6778856623
319,2023-01-09,912692.7575606806
320,2023-01-10,920315.4642908748
321,2023-01-11,934194.0887346156
322,2023-01-12,938980.3547911876
323,2023-01-13,943460.2430739634
324,2023-01-17,941049.1141143077
325,2023-01-18,925371.6686454051
326,2023-01-19,914629.7863898509
327,2023-01-20,930595.7710700267
328,2023-01-23,940229.7332778209
329,2023-01-24,941061.518041157
330,2023-01-25,942424.6366095775
331,2023-01-26,956720.5148024791
332,2023-01-27,962909.261590504
333,2023-01-30,949662.4484458201
334,2023-01-31,966552.4026961558
335,2023-02-01,973589.2102141612
336,2023-02-02,983950.9634330027
337,2023-02-03,968206.1445212329
338,2023-02-06,965818.6543026431
339,2023-02-07,973535.5644194873
340,2023-02-08,966130.1431929858
341,2023-02-09,960164.3220703013
342,2023-02-10,963898.9190055735
343,2023-02-13,973138.797690571
344,2023-02-14,976603.9061805613
345,2023-02-15,980650.0435249216
346,2023-02-16,965996.4428169138
347,2023-02-17,962510.7316657908
348,2023-02-21,940340.6412689097
349,2023-02-22,940994.4539062388
350,2023-02-23,943997.7603408701
351,2023-02-24,936348.949492634
352,2023-02-27,943733.5593635447
353,2023-02-28,940759.2857763178
354,2023-03-01,939462.9260732539
355,2023-03-02,943280.8794195063
356,2023-03-03,957967.2746297724
357,2023-03-06,954054.4947530634
358,2023-03-07,939743.0116903193
359,2023-03-08,938210.6127569086
360,2023-03-09,919043.606615246
361,2023-03-10,906585.1242925532
362,2023-03-13,900509.6250513919
363,2023-03-14,912889.9146403201
364,2023-03-15,896128.7770842441
365,2023-03-16,909006.1817358859
366,2023-03-17,895162.3646525271
367,2023-03-20,904809.901290787
368,2023-03-21,924638.3125552066
369,2023-03-22,905768.2803915866
370,2023-03-23,902162.7068137057
371,2023-03-24,903639.1355666049
372,2023-03-27,910662.1280440219
373,2023-03-28,913842.2648753055
374,2023-03-29,928225.2725180514
375,2023-03-30,933085.2336481937
376,2023-03-31,949529.3244646915
377,2023-04-03,953505.1998461612
378,2023-04-04,943316.6069315799
379,2023-04-05,934407.6801566012
380,2023-04-06,932290.900535477
381,2023-04-10,937678.213079346
382,2023-04-11,942174.0542048343
383,2023-04-12,936683.0592020877
384,2023-04-13,948347.4672526248
385,2023-04-14,948720.0003031619
386,2023-04-17,952949.7123621829
387,2023-04-18,955892.951738251
388,2023-04-19,954773.880544556
389,2023-04-20,946813.2631358035
390,2023-04-21,949424.928377045
391,2023-04-24,952620.1015261539
392,2023-04-25,935318.0429095157
393,2023-04-26,925313.134084595
394,2023-04-27,942810.6165865787
395,2023-04-28,949976.7512301333
396,2023-05-01,945548.3714693912
397,2023-05-02,935069.0969790347
398,2023-05-03,926730.9201601871
